PID,ZIPCODE,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,YR_REMOD,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_KITCH,R_KITCH_STYLE,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW
1809157000,2136,Y,287100,3816,1915,2016,1365,1.5,R,CV,G,M,7,4,1,0,S,1,M,W,N,0,A,A,A,N,A
1902667004,2130,Y,531200,11747,1960,0,1230,1,R,SL,G,W,6,3,1,1,S,1,S,W,C,1,A,A,A,N,A
1904410000,2131,Y,328100,3000,1925,0,864,1,R,BW,H,F,5,2,1,0,S,1,S,F,N,0,A,A,A,N,A
1809940000,2136,Y,188400,6000,1948,0,616,1,R,RN,G,A,4,2,1,0,N,1,N,F,N,0,A,F,F,N,A
1812267009,2136,Y,345100,15351,1950,0,1571,1,R,RR,G,M,7,3,2,0,S,1,S,F,C,0,A,A,A,N,A
1700882000,2124,Y,441000,3131,1880,2009,1815,2,R,CL,G,W,8,5,1,1,M,1,M,W,D,2,A,A,G,N,A
1810061000,2136,Y,351400,6250,1925,1989,1538,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A
2002115000,2132,Y,613600,8535,1930,2008,2228,2,R,CL,G,W,8,4,2,0,M,1,M,W,N,1,A,A,A,N,A
2012191000,2132,Y,348600,6000,1960,0,1555,1,R,RR,G,W,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A
1805847000,2131,Y,269800,4697,1941,0,1092,1.5,R,CP,G,M,6,2,1,0,S,1,S,F,N,0,A,A,A,N,A
2002769000,2132,Y,440300,3584,1920,0,1814,2,R,CL,L,M,9,4,1,1,S,1,S,W,N,0,A,A,A,N,A
1904910000,2130,Y,434900,4285,1915,2002,1632,1.5,R,CP,G,W,7,2,1,0,S,1,M,W,N,1,A,A,A,N,A
1812023070,2136,Y,344400,3733,1964,0,1392,2,R,CL,G,W,7,4,1,1,S,1,S,W,N,1,A,A,A,N,A
2011464000,2132,N,226890,4045,1934,0,1042,1,R,BW,G,W,5,3,1,0,S,1,S,W,N,0,F,A,A,N,A
1809687001,2136,Y,300300,5920,1956,0,1306,1.5,R,CP,G,W,6,2,2,0,M,1,S,F,N,0,A,A,A,N,A
1805590000,2131,Y,464800,4016,1900,0,1783,2,R,CL,G,A,7,3,1,0,M,1,M,W,N,0,A,A,A,N,G
1801329000,2136,N,304300,5000,1989,0,1025,1,R,RN,G,M,5,3,1,0,M,1,M,E,N,0,A,G,G,N,A
1808476000,2136,Y,331900,5267,1960,0,1179,1,R,RN,H,M,5,2,1,1,S,1,S,W,C,1,A,A,A,N,A
1500903000,2124,Y,282600,3195,1915,0,1973,2,R,CL,G,A,12,6,1,1,S,1,S,F,N,0,A,A,A,N,A
1810720000,2136,Y,799600,49350,1870,0,3245,2,R,VT,M,M,9,4,2,1,S,1,S,W,C,1,A,A,A,N,A
2000333010,2131,Y,426500,4500,1900,0,1446,2,R,CL,H,W,7,3,1,0,S,1,S,W,N,0,A,A,G,N,A
2004360000,2132,Y,587000,6743,1930,0,1956,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,G,N,G
2004340000,2132,Y,446200,5200,1956,0,1378,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A
