created_at,text
Tue Aug 01 12:10:06 +0000 2023,"Mali and Burkina Faso said they would join forces to defend Niger, where soldiers claimed to have seized power in a… https://t.co/5IgNQaKuBQ"
Tue Aug 01 12:00:14 +0000 2023,The NRA transformed itself from a fusty club of sportsmen to a lobbying juggernaut that changed the gun law landsca… https://t.co/DssIq2dHe6
Tue Aug 01 11:28:05 +0000 2023,"In the wake of the war in Ukraine, Germany is trying to break its dependence on Russian energy by building infrastr… https://t.co/iD8sCEUf3Y"
Tue Aug 01 11:26:02 +0000 2023,A group of women who work together as sanitation laborers in India pooled their money to buy a lottery ticket in Ju… https://t.co/a5a0YDv2Vu
Tue Aug 01 11:15:05 +0000 2023,RT @VALERIEinNYT: Surveys show that the Kremlin’s propaganda campaign against the L.G.B.T.Q. community may have affected Russian attitudes:…
Tue Aug 01 11:00:09 +0000 2023,"Listen to The Headlines, which brings you the biggest stories of the day from the New York Times reporters who are… https://t.co/daq6m8Hkwv"
Tue Aug 01 10:45:05 +0000 2023,A new law targeting transgender people in Russia underscores how President Vladimir Putin is increasingly using the… https://t.co/gVM9kjvgAr
Tue Aug 01 10:35:30 +0000 2023,"President Biden is on firmer footing with Democrats than a year ago, but he is neck-and-neck in a possible rematch… https://t.co/6U9gxN5bee"
Tue Aug 01 10:29:04 +0000 2023,President Biden met with and spoke to his son Hunter's business associates on a number of occasions but was not par… https://t.co/IY6dl4n2io
Tue Aug 01 10:15:08 +0000 2023,"The longlist for this year's Booker Prize features 13 works, including a novel about a squash prodigy battling grie… https://t.co/7XVeQiSz61"
Tue Aug 01 10:00:01 +0000 2023,"In Myanmar, the military’s brutal assault on civilians is escalating, visual evidence, data and interviews showed. https://t.co/As4GHd1h05"
Tue Aug 01 09:46:04 +0000 2023,"The “Barbenheimer” phenomenon has been met with anger in Japan, where nuclear bombings by the U.S. killed hundreds… https://t.co/Ie1zcAoAM2"
Tue Aug 01 09:30:11 +0000 2023,"Angus Cloud, the actor best known for portraying Fezco, a lovable drug dealer on the HBO television show “Euphoria,… https://t.co/AZKMo3RFaI"
Tue Aug 01 09:21:11 +0000 2023,"The U.S. 🇺🇸 settled for a 0-0 draw with Portugal 🇵🇹 at the Women's World Cup, but still advanced to the round of 16… https://t.co/zL6quZfamH"
Tue Aug 01 08:45:03 +0000 2023,"Russia said a drone hit the same building in central Moscow for the second time in 48 hours, blaming Ukraine, which… https://t.co/P8046vtt3M"
Tue Aug 01 08:33:06 +0000 2023,"Myanmar’s military government reduced the prison sentence for Daw Aung San Suu Kyi, the country’s ousted civilian l… https://t.co/pgFZlOsk91"
Tue Aug 01 08:15:10 +0000 2023,Workers on Monday dismantled a giant “X” sign installed on Twitter’s San Francisco headquarters after residents com… https://t.co/2jfNmNpF4a
Tue Aug 01 08:02:01 +0000 2023,From @TheAthleticFC: They have driven each other to crazy heights for 15 years. Now Lionel Messi and Cristiano Rona… https://t.co/47bgpn5nvN
Tue Aug 01 07:44:08 +0000 2023,"A powerful tropical cyclone, Typhoon Khanun, is approaching islands in southern Japan, days after another one slamm… https://t.co/pbfnYehVHp"
Tue Aug 01 07:32:02 +0000 2023,"Italy has fallen for “Mare Fuori,” or “The Sea Beyond,” an often gritty but always soapy melodrama about the inmate… https://t.co/4etIJgF7w2"
Tue Aug 01 07:07:40 +0000 2023,The U.S. 🇺🇸 is facing Portugal 🇵🇹 at the Women's World Cup. The U.S. can advance to the round of 16 with a win or a… https://t.co/oH5undttce
Tue Aug 01 07:02:07 +0000 2023,"Austria, unlike most EU countries, is still buying nearly as much natural gas from Russia as it was before the inva… https://t.co/xj9tlUtqaX"
Tue Aug 01 06:40:05 +0000 2023,"RT @livia_ar: At the Wood Street Commons, a small group of former residents recently gathered to figure out how to reassemble their fragmen…"
Tue Aug 01 06:10:03 +0000 2023,"Tiles is meant to be a relaxing game. It doesn't involve words at all, so you can play it while listening to a podc… https://t.co/2Yz5dUUMIl"
Tue Aug 01 05:40:04 +0000 2023,"Magnus White, a 17-year old “rising star” in competitive cycling, died while training for the world championships,… https://t.co/G2R5F9Js1B"
Tue Aug 01 05:10:08 +0000 2023,"From @TheAthletic: We asked 50 NFL coaches and executives to sort 30 veteran quarterbacks into tiers.
They were gra… https://t.co/Yp19UeFlQR"
Tue Aug 01 04:40:05 +0000 2023,Megan Rapinoe is watching the World Cup instead of starring in it for the first time in 12 years. The U.S. forward… https://t.co/FF8a2vJLpD
Tue Aug 01 04:20:02 +0000 2023,"RT @jonathanvswan: Donations to the Trump super PAC ""included $1 million from the father of his son-in-law, Charles Kushner, whom Mr. Trump…"
Tue Aug 01 04:10:05 +0000 2023,"During the hours you spend in bed every night, your sheets collect skin flakes, an assortment of bodily fluids and… https://t.co/A2h0FDsKZN"
Tue Aug 01 04:00:09 +0000 2023,"Donald Trump’s political action committee, which began last year with $105 million, now has less than $4 million le… https://t.co/GJePjauOiY"
Tue Aug 01 03:50:04 +0000 2023,🟨🟩 How did you do in Wordle today? 🟨🟩  https://t.co/UfXzP5W1Gd
Tue Aug 01 03:40:05 +0000 2023,"Phoenix’s run of consecutive days reaching or exceeding 110 degrees ended after 31 days, dipping just below the mar… https://t.co/LQTOuS6Udl"
Tue Aug 01 03:30:04 +0000 2023,"Here are four true crime picks across television, documentary and podcast that offer more than the usual glorificat… https://t.co/yfOngteEHJ"
Tue Aug 01 03:20:04 +0000 2023,"RT @ShaneGoldmacher: NEW: Trump's once mighty PAC's cash reserve has dwindled to under $4 million.

Saddled with huge legal bills, Trump's…"
Tue Aug 01 03:10:03 +0000 2023,Paul Reubens played dozens of memorable roles on big and small screens throughout his career. Here's a list of his… https://t.co/Ms3FdsNGLl
Tue Aug 01 03:00:13 +0000 2023,The Pentagon announced on Monday that President Biden had canceled an order by Donald Trump to move the United Stat… https://t.co/cCM58JzzBn
Tue Aug 01 02:40:03 +0000 2023,"Hillary Simms is the first woman to join the American Brass Quintet, and the first female trombonist to join the fa… https://t.co/4qBPOW5B0E"
Tue Aug 01 02:30:09 +0000 2023,"A new study shows that alcohol-related deaths among women are rising at a faster rate than those among men, particu… https://t.co/dwpTM2YIZ7"
Tue Aug 01 02:20:07 +0000 2023,RT @mlevenson: A Marine drill instructor was acquitted in the death of 19-year-old recruit during a grueling training exercise known as the…
Tue Aug 01 02:10:04 +0000 2023,How quickly can you solve today's Mini crossword? https://t.co/Yepc6KqbZk
Tue Aug 01 02:00:10 +0000 2023,"In “Pee-wee’s Playhouse,” the only rule was that there were no rules. Paul Reubens, as Pee-wee, pushed his audience… https://t.co/G0VzHdzCgn"
Tue Aug 01 01:40:07 +0000 2023,Connections is a daily game about finding common threads between words. Players must select four groups of four wor… https://t.co/wqqw3UHmy6
Tue Aug 01 01:30:07 +0000 2023,"The U.S. has a chance to win the Women’s World Cup, but it’s a wide open tournament. Here’s how the remaining teams… https://t.co/lMeEoiWRuH"
Tue Aug 01 01:20:03 +0000 2023,"RT @JulietMacur: Grateful that player moms were so candid with me for this story: @sydneyleroux recalled a coach saying ""she had a bad year…"
Tue Aug 01 01:10:04 +0000 2023,"Bill and Mary-Ellen McDonald host firefly viewing parties, hoping to inspire their neighbors to stop using pesticid… https://t.co/uRa8paBaJB"
Tue Aug 01 01:00:07 +0000 2023,A Georgia judge forcefully rejected an effort by Donald Trump to derail an investigation into attempts by Trump and… https://t.co/rcHOjTW6px
